"";"data.classe";"data.classe.n"
"768";NA;NA
"769";"Veneer";18
"770";"III";9
"771";NA;NA
"772";"Veneer";18
"773";"III";9
"774";NA;NA
"775";"II";8
"776";"Reconstituição";14
"777";"II";8
"778";"II";8
"779";"III";9
"780";NA;NA
"781";"III";9
"782";NA;NA
"783";"V";16
"784";NA;NA
"785";"II";8
"786";"I";6
"787";"II";8
"788";"II";8
"789";"II";8
"790";"I";6
"791";"I";6
"792";"II";8
"793";"II";8
"794";"I";6
"795";"I";6
"796";"I";6
"797";"IV";11
"798";"IV";11
"799";"I";6
"800";"Reconstituição";14
"801";"Veneer";18
"802";"Veneer";18
"803";"Veneer";18
"804";"II";8
"805";"II";8
"806";"II";8
"807";"II";8
"808";"I";6
"809";"II";8
"810";"II";8
"811";"I";6
"812";"I";6
"813";"II";8
"814";"II";8
"815";"II";8
"816";"Veneer";18
"817";"Veneer";18
"818";"Veneer";18
"819";"IV";11
"820";"V";16
"821";"IV";11
"822";NA;NA
"823";"Veneer";18
"824";"V";16
"825";"V";16
"826";"V";16
"827";"II";8
"828";"V";16
"829";"II";8
"830";"V";16
"831";"Reconstituição";14
"832";"Veneer";18
"833";"II";8
"834";"V";16
"835";"I";6
"836";"II";8
"837";"II";8
"838";"II";8
"839";"II";8
"840";"II";8
"841";"II";8
"842";"Onlay";12
"843";"II";8
"844";"II";8
"845";"II";8
"846";"II";8
"847";"II";8
"848";"II";8
"849";"III";9
"850";"Veneer";18
"851";"Reconstituição";14
"852";"Veneer";18
"853";"Reconstituição";14
"854";NA;NA
"855";NA;NA
"856";NA;NA
"857";"Reconstituição";14
"858";"V";16
"859";"Veneer";18
"860";"V";16
"861";"V";16
"862";"V";16
"863";"V";16
"864";"V";16
"865";"V";16
"866";"II";8
"867";"II";8
"868";"II";8
"869";"III";9
"870";"V";16
"871";"Reconstituição";14
"872";"II";8
"873";"II";8
"874";"II";8
"875";"II";8
"876";"Reconstituição";14
"877";"I";6
"878";"I";6
"879";"II";8
"880";"II";8
"881";"II";8
"882";"III";9
"883";"II";8
"884";"I";6
"885";"I";6
"886";"I";6
"887";"Reconstituição";14
"888";"Reconstituição";14
"889";"II";8
"890";"I";6
"891";"Veneer";18
"892";"Veneer";18
"893";"Veneer";18
"894";"Veneer";18
"895";"Veneer";18
"896";"Veneer";18
"897";"Veneer";18
"898";NA;NA
"899";"Veneer";18
"900";NA;NA
"901";NA;NA
"902";"IV";11
"903";"Veneer";18
"904";NA;NA
"905";NA;NA
"906";"IV";11
"907";"II";8
"908";"Veneer";18
"909";NA;NA
"910";"II";8
"911";"II";8
"912";"II";8
"913";"I";6
"914";"I";6
"915";"I";6
"916";"II";8
"917";"I";6
"918";"II";8
"919";"V";16
"920";"II";8
"921";"II";8
"922";"V";16
"923";"II";8
"924";NA;NA
"925";"I";6
"926";"I";6
"927";"I";6
"928";"II";8
"929";"II";8
"930";"II";8
"931";"Reconstituição";14
"932";"II";8
"933";"II";8
"934";"II";8
"935";NA;NA
"936";"I";6
"937";"II";8
"938";"V";16
"939";"I";6
"940";"III";9
"941";"Veneer";18
"942";"Veneer";18
"943";NA;NA
"944";"Veneer";18
"945";"II";8
"946";"II";8
"947";"III";9
"948";"Veneer";18
"949";"II";8
"950";"II";8
"951";"II";8
"952";"Veneer";18
"953";NA;NA
"954";"Veneer";18
"955";"III";9
"956";"II";8
"957";"I";6
"958";"II";8
"959";"III";9
"960";"Veneer";18
"961";"III";9
"962";"Veneer";18
"963";"III";9
"964";"II";8
"965";"II";8
"966";"II";8
"967";"I";6
"968";"II";8
"969";"II";8
"970";"II";8
"971";"II";8
"972";"II";8
"973";"II";8
"974";"II";8
"975";"I";6
"976";"II";8
"977";"II";8
"978";"I";6
"979";"I";6
"980";"II";8
"981";"I";6
"982";"II";8
"983";"II";8
"984";"I";6
"985";"III";9
"986";"Veneer";18
"987";"Veneer";18
"988";"Veneer";18
"989";"Veneer";18
"990";"Veneer";18
"991";"Veneer";18
"992";"Veneer";18
"993";"Veneer";18
"994";"II";8
"995";"Onlay";12
"996";"II";8
"997";"Onlay";12
"998";"II";8
"999";"Onlay";12
"1000";"II";8
"1001";"Onlay";12
"1002";"III";9
"1003";"III";9
"1004";"III";9
"1005";"Veneer";18
"1006";"III";9
"1007";"II";8
"1008";"II";8
"1009";"V";16
"1010";"II";8
"1011";"V";16
"1012";"I";6
"1013";"V";16
"1014";"II";8
"1015";"II";8
"1016";"I";6
"1017";"Veneer";18
"1018";"Veneer";18
"1019";"III";9
"1020";"Veneer";18
"1021";"II";8
"1022";"Reconstituição";14
"1023";"V";16
"1024";"II";8
"1025";"II";8
"1026";"I";6
"1027";"I";6
"1028";"II";8
"1029";"II";8
"1030";"II";8
"1031";"V";16
"1032";"III";9
"1033";"V";16
"1034";"II";8
"1035";"II";8
"1036";"I";6
"1037";"I";6
"1038";"II";8
"1039";"II";8
